| allegheny  |           283925 |
| arizona    |          3059586 |
| asu        |          2939521 |
| baylor     |          1274178 |
| bc         |          2367653 |
| berkeley   |          7142894 |
| brandeis   |           956754 |
| brown      |          2119471 |
| bu         |          1051305 |
| calgary    |           293442 |
| chi        |          6393567 |
| cmu        |           725057 |
| colby      |           420366 |
| columbia   |          6370324 |
| cornell    |          5992208 |
| dart       |          1665611 |
| duke       |          3785951 |
| emory      |          2581494 |
| fsu        |          1958338 |
| getty      |           814201 |
| harvard    |         13048674 |
| iastate    |          1480055 |
| ind        |          4209968 |
| iowa       |          3955542 |
| jhu        |           745231 |
| ksu        |          1681380 |
| ku         |          3103238 |
| lafayette  |           420138 |
| loc        |         10094694 |
| mcgill     |          2533990 |
| miami      |          1519283 |
| minn       |          3875834 |
| missouri   |          1947543 |
| mit        |          1572995 |
| msu        |          2636163 |
| nccu       |           264791 |
| ncsu       |          1636335 |
| nd         |          2027003 |
| nwu        |          2728608 |
| nypl       |          4309224 |
| nyu        |          2892094 |
| osu        |          4209341 |
| ou         |          1991167 |
| pitt       |          3452931 |
| prnc       |          3728088 |
| psu        |          3614900 |
| purd       |          1295545 |
| stanford   |          5860795 |
| syr        |          1541043 |
| tamu       |          2751772 |
| temple     |          1813964 |
| tufts      |           836926 |
| ua         |          1652808 |
| ualberta   |          5052686 |
| ubc        |           683344 |
| ucdavis    |          1982650 |
| uci        |          1739250 |
| ucla       |          6967544 |
| ucmerced   |           104616 |
| uconn      |          1245894 |
| ucr        |          1525389 |
| ucsb       |          1660756 |
| ucsc       |           842121 |
| ucsd       |          1622608 |
| ucsf       |           275900 |
| udel       |          1454982 |
| ufl        |          2410006 |
| uh         |          1910847 |
| uic        |          1670002 |
| uiuc       |          7618348 |
| umass      |          1627775 |
| umd        |          2551204 |
| unc        |          4545419 |
| unl        |          2660077 |
| uom        |          6388722 |
| upenn      |          3531307 |
| uq         |          1064353 |
| usu        |           960209 |
| utah       |          1417703 |
| utk        |          1519401 |
| uva        |          3402631 |
| uvm        |           988096 |
| vanderbilt |          1663744 |
| vt         |          1232475 |
| washington |          4248414 |
| wfu        |           849030 |
| wisc       |          5388389 |
| wustl      |          1778834 |
| yale       |          8044092 |
