allegheny	153112
arizona	1019704
asu	994261
baylor	451131
bc	574946
berkeley	2331857
brandeis	428710
brown	857526
bu	457326
calgary	50472
chi	1809031
cmu	256336
colby	198181
columbia	1817406
cornell	1935875
dart	692050
duke	1294384
emory	744534
fsu	681330
getty	141146
harvard	2546072
iastate	635832
ind	1415377
iowa	1123888
jhu	254745
ksu	588001
ku	1094316
lafayette	198289
loc	2501651
mcgill	744451
miami	507045
minn	1299365
missouri	812230
mit	528785
msu	1067139
nccu	98776
ncsu	601194
nd	769336
nwu	943125
nypl	1142859
nyu	883288
osu	1156960
ou	647810
pitt	956763
prnc	1468949
psu	886711
purd	533824
stanford	1547109
syr	654595
tamu	782701
temple	608477
tufts	315975
ua	608204
ualberta	869100
ubc	227722
ucdavis	762917
uci	698730
ucla	1978234
ucmerced	28665
uconn	606714
ucr	627759
ucsb	601380
ucsc	379411
ucsd	668326
ucsf	118133
udel	602629
ufl	937554
uh	636318
uic	651994
uiuc	1765278
umass	745071
umd	821957
unc	1372488
unl	799868
uom	2931645
upenn	1251375
uq	238254
usu	372384
utah	578140
utk	651119
uva	1198897
uvm	378655
vanderbilt	599920
vt	514762
washington	1429327
wfu	382133
wisc	2170588
wustl	778306
yale	1769101
