nypl	$21543.59	$21409.41	$21060.84	$20575.50	$19465.75	$18203.35	$18298.93	$18178.19	$18186.20	$17870.49	$17864.27	$17931.96						
nyu	$30019.30	$29666.53	$29359.02	$28617.85	$26956.26	$25189.80	$25048.22	$24839.78	$24864.12	$24401.00	$24093.65	$24135.54						
osu	$46311.97	$45843.08	$44777.73	$43678.08	$41249.63	$38532.84	$38050.50	$37708.23	$37689.07	$37018.33	$36519.16	$36555.84						
ou	NA	NA	NA	NA	$20711.16	$19361.38	$19477.58	$19267.63	$19264.47	$18844.27	$18640.28	$18695.60						
pitt	$35043.64	$34752.05	$34015.54	$33142.77	$31235.68	$29187.54	$28723.06	$28458.08	$28443.20	$27920.34	$27599.11	$27743.96						
prnc	$46261.87	$45828.61	$46200.43	$46521.27	$44328.73	$41406.83	$41878.35	$41583.67	$41588.63	$40955.33	$40392.36	$40408.59						
psu	$29766.86	$29350.38	$28634.59	$27858.37	$26054.51	$24350.71	$24205.59	$23973.57	$23979.00	$23462.94	$23209.79	$23186.99						
purd	$23658.64	$23322.01	$22705.58	$22030.80	$20479.75	$19145.51	$19053.02	$18852.53	$18850.63	$18437.95	$18252.04	$18304.90						
stanford	$56604.59	$56141.28	$55011.97	$53810.41	$51366.76	$47981.73	$48120.42	$47760.03	$47741.67	$47067.36	$46477.34	$46514.39						
syr	NA	NA	NA	NA	$22085.56	$20649.37	$20515.70	$20314.07	$20313.79	$19895.92	$19695.38	$19740.14						
tamu	$27629.62	$27270.29	$26545.87	$25791.17	$24004.46	$22436.32	$22326.82	$22120.74	$22113.96	$21645.15	$21428.22	$21487.90						
tufts	NA	NA	NA	NA	NA	NA	NA	NA	NA	$14310.84	$14193.50	$14256.08						
ualberta	NA	NA	NA	NA	NA	NA	NA	NA	NA	$26188.64	$25894.30	$25937.14						
ucdavis	$22882.07	$22646.76	$22503.82	$26036.59	$24380.43	$22789.32	$22591.93	$22374.80	$22373.22	$21911.62	$21680.55	$21717.66						
uci	$26592.31	$26354.10	$26228.08	$25474.27	$23846.83	$22290.43	$21998.51	$21788.37	$21785.85	$21331.94	$21104.31	$21141.12						
ucla	$72226.02	$75416.71	$74557.09	$73074.27	$70081.41	$65457.64	$65950.24	$65487.33	$65441.10	$64544.71	$63695.59	$63670.32						
ucm 	$12831.28	$12697.57	$12492.50	$12129.74	$11234.14	$10513.84	$10513.84	$10417.22	$10430.07	$10197.05	$10164.23	$10235.60						
ucmerced	$13168.46	$13030.50	$12816.06	$12443.43	$11526.72	$10788.44	$10791.86	$10692.79	$10705.04	$10466.40	$10428.73	$10499.97						
uconn	$23443.02	$23082.50	$22523.37	$21848.78	$20313.89	$18991.74	$19111.20	$18904.80	$18904.98	$18497.58	$18302.76	$18364.32						
ucr	$23276.77	$22984.26	$22461.70	$21800.07	$20319.55	$18997.18	$19108.01	$18920.90	$18942.18	$18549.63	$18373.27	$18431.75						
ucsb	$15724.40	$25186.40	$24637.33	$23941.41	$22409.76	$20948.36	$20791.12	$20601.18	$20604.13	$20190.33	$19981.00	$20042.67						
ucsc	$23973.88	$26529.15	$26137.25	$25434.97	$24051.89	$22481.43	$22467.93	$22272.90	$22262.45	$21836.93	$21637.48	$21616.14						
ucsd	$38163.97	$45783.54	$45300.34	$44418.34	$42637.03	$39825.86	$39832.72	$39622.54	$39609.36	$39083.46	$38711.27	$38676.68						
ucsf	$16566.76	$19265.28	$18934.36	$18470.65	$17460.86	$16328.04	$16347.31	$16225.56	$16225.41	$15904.40	$15811.24	$15871.43						
udel	$21546.75	$21235.11	$20781.05	$20166.32	$18727.18	$17509.19	$17553.51	$17378.77	$17377.98	$16999.92	$16839.49	$16891.33						
ufl	$31998.49	$31561.04	$30764.24	$29805.16	$28138.96	$26523.26	$26564.14	$26298.14	$26290.29	$25782.99	$25478.98	$25500.87						
uh	NA	NA	NA	NA	$19069.57	$17832.19	$17760.36	$17578.77	$17581.02	$17197.02	$17041.08	$17098.95						
uic	$23568.17	$23218.76	$22661.62	$21978.12	$20449.94	$19118.97	$19057.14	$18853.49	$18852.97	$18418.85	$18235.67	$18296.80						
uiuc	$54964.09	$54601.73	$54725.12	$53600.78	$51119.86	$47749.50	$46565.21	$46147.12	$46167.26	$45470.15	$44917.21	$44930.05						
umd	$29357.09	$29017.31	$28277.55	$27451.23	$25629.83	$23953.35	$23759.29	$23524.99	$23516.04	$23051.19	$22789.20	$22835.77						
unc	$41129.72	$40654.56	$39772.87	$38825.92	$36617.64	$34210.32	$34568.57	$34398.92	$34378.77	$33758.47	$33316.29	$33340.62						
unl	$27948.68	$27544.29	$26809.01	$26048.49	$24282.43	$22693.24	$22853.32	$22614.74	$22612.64	$22137.66	$21900.01	$21955.94						
uom	$250244.38	$248666.81	$246284.16	$244130.43	$239248.08	$223416.93	$224430.84	$223491.46	$223374.93	$221372.54	$218756.75	$217359.79						
upenn	$44738.76	$44288.75	$43416.33	$42475.65	$40418.07	$37757.25	$38211.14	$37938.12	$37950.06	$37354.33	$36852.06	$36831.47						
usu	$16892.55	$16699.79	$16352.27	$15892.03	$14738.86	$13786.42	$13822.67	$13677.31	$13693.52	$13388.37	$13299.34	$13361.44						
utah	$22619.48	$22329.36	$21845.54	$21237.97	$19829.22	$18539.52	$18617.27	$18452.12	$18459.04	$18083.19	$17915.92	$17996.62						
uva	$37484.94	$37003.85	$36208.91	$35310.01	$33275.17	$31091.06	$31414.71	$31124.33	$31106.57	$30532.42	$30147.05	$30187.23						
uvm	NA	NA	NA	$18196.14	$16883.86	$15790.22	$15715.49	$15554.65	$15561.90	$15203.09	$15076.94	$15143.15						
vanderbilt	NA	NA	NA	NA	NA	NA	NA	$19763.65	$19764.27	$19348.04	$19135.27	$19206.48						
vt	$0.00	$0.00	$21697.09	$21030.81	$19496.90	$18229.78	$18305.48	$18126.90	$18126.35	$17725.84	$17564.03	$17625.45						
washington	$54777.86	$54406.93	$53290.63	$52123.83	$49677.98	$46404.21	$46028.34	$45712.34	$45708.02	$45025.79	$44499.04	$44552.19						
wfu	NA	NA	NA	NA	$16324.90	$15267.34	$15330.38	$15180.93	$15187.47	$14850.07	$14726.04	$14758.62						
wisc	$110033.49	$109257.09	$107510.07	$105803.97	$102536.48	$95699.64	$96028.06	$95406.06	$95595.41	$94631.97	$93564.37	$93318.94						
wustl	$29146.12	$28812.45	$28148.01	$27388.79	$25658.64	$23980.91	$24281.51	$24054.33	$24049.08	$23594.58	$23308.94	$23326.70						
yale	$67599.41	$67130.30	$65967.04	$64072.15	$61496.67	$57430.41	$56822.17	$56445.08	$56978.49	$56246.59	$55536.86	$55455.96						
