member_id	pd_cost	spm_cost	mpm_cost	% ser	serial-full	serial-reduced
allegheny	6144.056737345154	513.9665101117203	152.97027486275226	0.0007080377623967868	166.81327889036655	166.54594986031745
arizona	6144.056737345154	6340.0097734152405	1963.718265866662	0.008815457705949827	2025.5823831147125	2022.3362568029181
asu	6144.056737345154	5804.619723118855	1423.0537915867458	0.007673089711017435	1592.283914567526	1589.7321769763955
baylor	6144.056737345154	1630.6799409484506	594.168024743369	0.002361957550987046	772.8922294158682	771.6536198075887
bc	6144.056737345154	2649.94375180989	821.99019120994	0.0036858970678897325	791.2428718327598	789.9748541373618
berkeley	6144.056737345154	82756.50227100911	59476.49658826995	0.15099832026083743	5738.571941012085	5729.3755096424575
brandeis	6144.056737345154	1997.6405854903505	600.216423028092	0.0027579538342732313	597.8789228050025	596.9207832996617
brown	6144.056737345154	4458.429906504286	1947.1843802025237	0.006800369852909486	1907.1706607075887	1904.1142968122415
bu	6144.056737345154	1962.8320941794257	655.0580877454997	0.002779221581969853	682.887888323327	681.7935164721641
calgary	6144.056737345154	384.5463131357794	135.57511192931582	0.0005521746862287911	173.4144861627657	173.13657827263427
chi	6144.056737345154	15770.216765152394	5472.136788837643	0.022551445380215786	4197.2688480797715	4190.542454249036
cmu	6144.056737345154	1144.1426300592484	414.1369561840287	0.0016543108976580308	585.5738253784881	584.6354055848009
colby	6144.056737345154	690.1976594689671	184.16975981503882	0.0009282516199585491	125.35715235667986	125.15625944112695
columbia	6144.056737345154	15877.671875957049	5382.946481352943	0.02257083577937299	4091.5169355484118	4084.9600159729125
cornell	6144.056737345154	31974.389281886746	11725.326313756928	0.0463927759643664	5781.587793415173	5772.322426369825
dart	6144.056737345154	3093.3164422764753	923.0587693648464	0.004263890344427903	1126.4079781553478	1124.6028367766585
duke	6144.056737345154	7630.703079261032	3416.7811113399007	0.011728301936031848	3556.384347426633	3550.6850123113272
emory	6144.056737345154	3703.176153070561	1146.1027980519902	0.005148123023266841	1442.148729825975	1439.837593544167
fsu	6144.056737345154	3210.0599522500647	1419.6067430151445	0.004914976833500003	1787.2364605875691	1784.3722989773212
getty	6144.056737345154	1107.4657331885423	333.8095719917299	0.0015300960526815827	441.03478646293973	440.3279997942326
harvard	6144.056737345154	25849.947629932743	9618.336312387115	0.03765407001734842	6209.533135199711	6199.5819581643245
iastate	6144.056737345154	3013.8218025507967	1315.828431405273	0.004596471408798237	1533.5512879415821	1531.093673169766
ind	6144.056737345154	13226.077506263866	4018.4178886974087	0.018307213229477832	2841.663671505809	2837.1097223353204
iowa	6144.056737345154	6095.036345431551	2124.8492711904523	0.008726448368526171	2576.363767963942	2572.2349789866803
jhu	6144.056737345154	1156.5052997710682	255.6236576575543	0.0014991535176332174	580.7866697774492	579.855921709131
ksu	6144.056737345154	2445.4451819826204	979.9640963720445	0.003636505251141995	1290.2993258410656	1288.2315380153923
ku	6144.056737345154	6431.5837867545815	2642.691682899333	0.009633491274816589	2562.7483140485497	2558.641344713663
lafayette	6144.056737345154	682.9541220376942	228.09398460860206	0.0009671928095709442	277.9750555206929	277.5295825795427
loc	6144.056737345154	31224.78389632138	8527.660929028956	0.04220224872589701	5697.008486157527	5687.878662902942
mcgill	6144.056737345154	4628.648810099968	1499.2492670156898	0.006505538966309397	1441.2325798317404	1438.9229117393409
miami	6144.056737345154	2108.997356005829	448.7258249778828	0.0027153466995577624	356.16284979192767	355.59207587148325
minn	6144.056737345154	8085.9793213998355	3194.223050838334	0.011975361723867338	3902.405690279524	3896.151833662235
missouri	6144.056737345154	3615.7238770045906	1395.029893862329	0.005319548970419543	2180.4794224158654	2176.9850636159317
mit	6144.056737345154	2493.1869790935457	978.7793723966739	0.0036859314735806083	1359.8609025979074	1357.6816378624414
msu	6144.056737345154	5990.905272684369	2248.9219897840835	0.008747618948139904	2594.8952807977694	2590.7367938768916
nccu	6144.056737345154	408.9420565780336	159.1925921252115	0.0006031467966238015	187.23871208252694	186.93864997942808
ncsu	6144.056737345154	2678.7690358184445	1115.406320903273	0.0040279970909343375	1282.739226801514	1280.6835545217782
nd	6144.056737345154	3689.9924398558296	1324.8976251298527	0.0053239401698531984	1425.3385390350888	1423.0543421673904
nwu	6144.056737345154	4930.616992361405	4920.8890911672925	0.01045861988837064	2182.903076606857	2179.4048337448858
nypl	6144.056737345154	8867.211396625395	2719.25870013273	0.01230050365523009	2446.1009187696172	2442.180884403248
nyu	6144.056737345154	5622.3456663238685	1410.4937120033326	0.007466248629422045	1196.3001898976984	1194.3830417453441
osu	6144.056737345154	7895.060522909482	2873.3851614832965	0.01143206726430696	3154.4074199850397	3149.352278802193
ou	6144.056737345154	2443.145981728831	1026.2024568362249	0.0036831522278538134	1512.0431582862836	1509.6200116783755
pitt	6144.056737345154	6271.1998245452105	2187.181592754493	0.008979641829821507	1994.8695389097516	1991.6726319101485
prnc	6144.056737345154	10883.230196998198	4091.811726479819	0.015897901291654325	3059.0729661073633	3054.1706045308833
psu	6144.056737345154	4598.5256108441545	1819.3120096867651	0.006813346467972311	1531.9253242305683	1529.4703151703886
purd	6144.056737345154	2438.2882659254565	978.8629780761937	0.0036277383030641082	1335.453442648672	1333.3132924407637
stanford	6144.056737345154	11932.83997803192	4993.53951244369	0.017969492956328582	4861.35817713949	4853.567537360326
syr	6144.056737345154	3187.0507572949587	1078.3042656424325	0.004528213909184931	1502.6226657980937	1500.214616136522
tamu	6144.056737345154	3701.0123195086103	1464.581329670847	0.005483931087945713	1904.1427606832729	1901.0912491928536
